_id,Name,Address1,Address2,State,City,Website,YearOfCreation,Country,Tags
000d70af-d6ee-4550-8649-6849dd7f2b7b,Keefe Piccolo Co Incorporated,54 Church St,,Massachusetts,Winchester,N/A,2000.0,United States,Law Practice
001811d3-8f22-4595-a05e-ee396bd93f94,Zaugh Photography,1777 North Vermont Avenue Apartment 50,,California,Los Angeles,N/A,2004.0,United States,Photography
001f15b6-0ecb-4294-ba39-ed37bf91df29,Weatherall CO Incorporated,106 Industrial Way,,Indiana,Charlestown,https://weatherall.com,1982.0,United States,
0021fccc-46d2-44b4-99bf-0a9d0d51a589,Digital River Incorporated,59 Beaver St,,Massachusetts,Milford,https://digitalriver.com,1994.0,United States,"Internet, e-commerce solutions, global payments and cloud-based billing, strategic e-marketing services, physical and digital product fulfillment, fraud management, export controls, tax management, online subscriptions, global ecommerce solutions, commerce cloud, cloud ecommerce, flexible monetization, subscription billing solutions, global payments, online merchant services, global online marketing, strategic e-marketing services"
00233dae-8e8b-4ff3-a186-8f3f8a6140e4,Mark Patton Consulting Incorporated,145 Mammoth Road,,New Hampshire,Londonderry,N/A,2010.0,United States,
00236184-0c20-42ea-a3c5-c52e36f1a38b,Consumer Source Inc,865 South Milliken Avenue,,California,Ontario,http://www.rentpath.com,1975.0,United States,"Internet, Rental Properties, Apartment Search, Apartment Rentals, Apartment Websites, Multifamily Marketing, Multifamily Analytics, Digital Marketing, Digital Advertising, Advertising, Digital Solutions, Engineering, UI, UX, B2B, B2C, Product Management, Digital Sales, Outside Sales"
0025bce4-9db4-4dd9-b492-40a52f3d0b9d,Protection Development International Corporation,1555 Railroad Street,,,Corona,https://armor-pdi.com,,United States,
002b4beb-11c4-4fe0-ba98-e073ebc3f878,Consultatech,28671 Calle Cortez # K,,California,Temecula,https://consult-a-tech.com,,United States,Automotive
0030553d-f4fd-4d35-87d9-d6e82b5657db,Family Dental Center,201 Van Gundy Drive Building A,,Ohio,Bryan,https://whittakerdental.com,1981.0,United States,Medical Practice
0032eef7-7747-45ab-a8ff-2850a4ff0865,Berger & Miller Llp,4800 Six Forks Road,,North Carolina,Raleigh,N/A,,United States,
00392635-c0a1-4875-bc9e-663e19b3148b,Lakota Foods,200 Crazyhorse St,,South Dakota,Lower Brule,https://lakotafoods.com,2004.0,United States,
0040649d-63aa-433f-8edd-77b03be86241,Gonzalez-Oliver Anyuli,1610 16th St Nw Apartment 807,,Washington,Washington,N/A,2012.0,United States,
0041b1ad-a590-438a-b681-09f47daaa0b2,Davis instrument co,po box 100,,Wisconsin,Marshall,https://davisinstrument.com,1956.0,United States,Retail & Traders
00443ef4-1b00-4a2e-bc73-fed71d38f6a5,Equifax Inc,5245 Maureen Lane,,California,Moorpark,https://www.equifax.com,1899.0,United States,"Information Technology and Services, risk modeling, credit reporting, marketing data, identity protection, HR compliance, employment verification, ACA compliance, technology, fraud prevention, artificial intelligence, machine learning, financial literacy, blockchain, cloud-based platforms, big data, trended data, data mining, cybersecurity, financial services, fintech, data analytics, cloud, talent solutions"
004784ee-f82f-4e8b-9d0b-2f3c0caf5f71,Shalom Scripture Studies Incorporated,44 Lee Boulevard # A,,Georgia,Savannah,https://shalom-peace.com,1974.0,United States,"Associations/Non-Profits, Religious Organizations, Other Services (except Public Administration), Non-profit, Churches"
006131dd-0e6f-4c2d-8e8f-64f3fdc52d56,Big Commerce,11305 Four Points Drive,,Texas,Austin,http://www.bigcommerce.com,2009.0,United States,"Computer Software, E-Commerce Software, Shopping Cart Software, Hosted Ecommerce Solution, Internet Marketing, SaaS"
00636df6-f722-495d-98eb-aa620c0bd4a1,Packaging Advantage,470 Fenton Lane,,Illinois,West Chicago,https://packagingadvantage.com,1993.0,United States,Packaging and Containers
00764bae-1cfc-41c3-ab03-8f73e90055ba,Robertson Cadillac,2355 Browns Bridge Road,,Georgia,Gainesville,https://mossrobertson.com,,United States,Automotive
0076f60f-2cd9-4e2e-b1ca-3431211de76d,LAUX & Company,672 W Liberty St,,Ohio,Medina,https://lauxco.com,,United States,
007b268f-b9e0-448c-a1a1-ae4675765b8e,Carolina Forest Imaging Center,199 Village Center Boulevard # 110,,South Carolina,Myrtle Beach,N/A,,United States,
